aaa_base.x86_64                                   84.87+git20240202.9526d46-1.1 @System
libimaevm4.x86_64                                 1.5-2.2                       @System
libinih0.x86_64                                   58-1.2                        @System
libip4tc2.x86_64                                  1.8.10-2.2                    @System
libisoburn1.x86_64                                1.5.6-1.2                     @System
libisofs6.x86_64                                  1.5.6-2.2                     @System
libjitterentropy3.x86_64                          3.4.1-4.1                     @System
libjpeg8.x86_64                                   8.3.2-79.1                    @System
libjson-c5.x86_64                                 0.17-2.2                      @System
libjte2.x86_64                                    1.22-1.12                     @System
libkcapi-tools.x86_64                             1.4.0-2.7                     @System
libkcapi1.x86_64                                  1.4.0-2.7                     @System
libkeyutils1.x86_64                               1.6.3-7.1                     @System
libkmod2.x86_64                                   31-2.2                        @System
libksba8.x86_64                                   1.6.5-1.2                     @System
libldap2.x86_64                                   2.6.6-1.3                     @System
liblldp_clif1.x86_64                              1.1+106.74c0600a8692-1.2      @System
liblua5_4-5.x86_64                                5.4.6-3.2                     @System
liblvm2cmd2_03.x86_64                             2.03.22-1.2                   @System
liblz4-1.x86_64                                   1.9.4-2.7                     @System
liblzma5.x86_64                                   5.4.6-1.2                     @System
liblzo2-2.x86_64                                  2.10-8.5                      @System
libmagic1.x86_64                                  5.45-1.5                      @System
libmana1.x86_64                                   49.1-2.1                      @System
libmediacheck6.x86_64                             6.2-1.5                       @System
libmlx4-1.x86_64                                  49.1-2.1                      @System
libmlx5-1.x86_64                                  49.1-2.1                      @System
libmnl0.x86_64                                    1.0.5-1.6                     @System
libmodulemd2.x86_64                               2.15.0-1.3                    @System
libmount1.x86_64                                  2.39.3-4.1                    @System
libmpdec3.x86_64                                  2.5.1-2.18                    @System
libmpfr6.x86_64                                   4.2.1-1.3                     @System
libncurses6.x86_64                                6.4.20240210-31.1             @System
libndctl6.x86_64                                  78-2.4                        @System
libnettle8.x86_64                                 3.9.1-2.4                     @System
libnghttp2-14.x86_64                              1.59.0-1.2                    @System
libnl-config.noarch                               3.9.0-1.2                     @System
libnl3-200.x86_64                                 3.9.0-1.2                     @System
libnpth0.x86_64                                   1.6-2.12                      @System
libnss_usrfiles2.x86_64                           2.27-3.17                     @System
libnuma1.x86_64                                   2.0.18.0.g3871b1c-1.1         @System
libnvme-mi1.x86_64                                1.8+0.gbff7dda-1.1            @System
libnvme1.x86_64                                   1.8+0.gbff7dda-1.1            @System
libopeniscsiusr0.x86_64                           0.2.0-104.2                   @System
libopenssl-3-fips-provider.x86_64                 3.1.4-4.1                     @System
libopenssl3.x86_64                                3.1.4-4.1                     @System
libp11-kit0.x86_64                                0.25.3-1.2                    @System
libpciaccess0.x86_64                              0.18-1.1                      @System
libpcre2-8-0.x86_64                               10.43-1.1                     @System
libpeas-1_0-0.x86_64                              1.36.0-1.4                    @System
libpixman-1-0.x86_64                              0.42.2-2.2                    @System
libpkgconf4.x86_64                                2.1.1-1.1                     @System
libpmem1.x86_64                                   1.11.1-1.10                   @System
libpng16-16.x86_64                                1.6.42-1.1                    @System
libpopt0.x86_64                                   1.19-1.7                      @System
libprocps8.x86_64                                 3.3.17-16.2                   @System
libprotobuf-lite25_1_0.x86_64                     25.1-9.4                      @System
libproxy1.x86_64                                  0.5.3-1.2                     @System
libpsl5.x86_64                                    0.21.2-1.6                    @System
libpwquality1.x86_64                              1.4.5-2.2                     @System
libpxbackend-1_0.x86_64                           0.5.3-1.2                     @System
libpython3_11-1_0.x86_64                          3.11.8-2.1                    @System
librdmacm1.x86_64                                 49.1-2.1                      @System
libreadline8.x86_64                               8.2.10-1.2                    @System
librepo0.x86_64                                   1.17.0-1.2                    @System
librpmbuild10.x86_64                              4.19.1.1-2.1                  @System
libsasl2-3.x86_64                                 2.1.28-6.2                    @System
libseccomp2.x86_64                                2.5.5-1.2                     @System
libselinux1.x86_64                                3.6-1.2                       @System
libsemanage-conf.x86_64                           3.6-1.3                       @System
libsemanage2.x86_64                               3.6-1.3                       @System
libsepol2.x86_64                                  3.6-1.2                       @System
libsha1detectcoll1.x86_64                         1.0.3-4.21                    @System
libsigc-2_0-0.x86_64                              2.12.1-2.2                    @System
libslirp0.x86_64                                  4.7.0+60-1.2                  @System
libsmartcols1.x86_64                              2.39.3-4.1                    @System
libsnapper7.x86_64                                0.10.7-1.3                    @System
libsnappy1.x86_64                                 1.1.10-1.2                    @System
libsolv-tools.x86_64                              0.7.28-1.6                    @System
libsqlite3-0.x86_64                               3.44.2-1.2                    @System
libssh-config.x86_64                              0.10.6-1.2                    @System
libssh4.x86_64                                    0.10.6-1.2                    @System
libstdc++6.x86_64                                 14.0.1+git8957-1.2            @System
libsubid4.x86_64                                  4.14.5-1.1                    @System
libsystemd0.x86_64                                254.9-2.1                     @System
libtasn1-6.x86_64                                 4.19.0-1.6                    @System
libtirpc-netconfig.x86_64                         1.3.4-1.2                     @System
libtirpc3.x86_64                                  1.3.4-1.2                     @System
libtss2-esys0.x86_64                              4.0.1-4.2                     @System
libtss2-mu0.x86_64                                4.0.1-4.2                     @System
libtss2-rc0.x86_64                                4.0.1-4.2                     @System
libtss2-sys1.x86_64                               4.0.1-4.2                     @System
libtukit4.x86_64                                  4.5.0-2.3                     @System
libudev1.x86_64                                   254.9-2.1                     @System
libunistring5.x86_64                              1.1-3.2                       @System
liburcu8.x86_64                                   0.14.0-1.4                    @System
liburing2.x86_64                                  2.4-4.2                       @System
libusb-1_0-0.x86_64                               1.0.27-1.1                    @System
libutempter0.x86_64                               1.2.1-2.1                     @System
libuuid1.x86_64                                   2.39.3-4.1                    @System
libvdeplug3.x86_64                                2.3.2+svn587-4.1              @System
libverto1.x86_64                                  0.3.2-3.2                     @System
libwrap0.x86_64                                   7.6-895.7                     @System
libwtmpdb0.x86_64                                 0.11.0-1.2                    @System
libxdp1.x86_64                                    1.4.2-2.1                     @System
libxml2-2.x86_64                                  2.11.6-2.1                    @System
libxslt1.x86_64                                   1.1.39-1.2                    @System
libxtables12.x86_64                               1.8.10-2.2                    @System
libxxhash0.x86_64                                 0.8.2-2.2                     @System
libyajl2.x86_64                                   2.1.0-8.4                     @System
libyaml-0-2.x86_64                                0.2.5-2.4                     @System
libyaml-cpp0_8.x86_64                             0.8.0-1.2                     @System
libz1.x86_64                                      1.3-2.1                       @System
libzck1.x86_64                                    1.4.0-2.1                     @System
libzio1.x86_64                                    1.09-1.1                      @System
libzstd1.x86_64                                   1.5.5-5.2                     @System
libzypp.x86_64                                    17.31.31-1.2                  @System
login_defs.noarch                                 4.14.5-1.1                    @System
lsb-release.noarch                                3.3-1.2                       @System
lsof.x86_64                                       4.99.3-1.2                    @System
lvm2.x86_64                                       2.03.22-1.2                   @System
mdadm.x86_64                                      4.3-1.1                       @System
microdnf.x86_64                                   3.9.1-1.7                     @System
mtools.x86_64                                     4.0.43-2.1                    @System
nbd.x86_64                                        3.25-1.3                      @System
ncurses-utils.x86_64                              6.4.20240210-31.1             @System
netcfg.noarch                                     11.6-13.2                     @System
nvme-cli.x86_64                                   2.8-1.1                       @System
open-iscsi.x86_64                                 2.1.9-104.2                   @System
open-isns.x86_64                                  0.102-2.3                     @System
open-lldp.x86_64                                  1.1+106.74c0600a8692-1.2      @System
openSUSE-build-key.x86_64                         1.0-48.2                      @System
openSUSE-release.x86_64                           20240226-2767.1               @System
